timestamp,R_angle(θ),R_Torque Cmd,R_Torque Est,L_angle(θ),L_Torque Cmd,L_Torque Est,Lθ Display,Rθ Display,Lτ Display,Rτ Display
0.1555,-0.26,0.0,0.0,-0.13,0.0,0.0,-0.1,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.156,-0.26,0.0,0.0,-0.15,0.0,0.0,-0.1,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.1565,-0.26,0.0,0.0,-0.15,0.0,0.0,-0.1,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.157,-0.27,0.0,0.0,-0.15,0.0,0.0,-0.1,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.1575,-0.3,0.0,0.0,-0.16,0.0,0.0,-0.2,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.158,-0.3,0.0,0.0,-0.16,0.0,0.0,-0.2,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.1585,-0.3,0.0,0.0,-0.14,0.0,0.0,-0.1,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.159,-0.37,0.0,0.0,-0.2,0.0,0.0,-0.2,-0.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.1595,-0.44,0.0,0.0,-0.24,0.0,0.0,-0.2,-0.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.16,-0.47,0.0,0.0,-0.25,0.0,0.0,-0.2,-0.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.1605,-0.41,0.0,0.0,-0.21,0.0,0.0,-0.2,-0.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.161,-0.39,0.0,0.0,-0.2,0.0,0.0,-0.2,-0.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.1615,-0.43,0.0,0.0,-0.22,0.0,0.0,-0.2,-0.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.162,-0.44,0.0,0.0,-0.22,0.0,0.0,-0.2,-0.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.1625,-0.42,0.0,0.0,-0.2,0.0,0.0,-0.2,-0.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.163,-0.35,0.0,0.0,-0.12,0.0,0.0,-0.1,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.1635,-0.28,0.0,0.0,-0.03,0.0,0.0,-0.0,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.164,-0.27,0.0,0.0,-0.03,0.0,0.0,-0.0,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.1645,-0.29,0.0,0.0,-0.07,0.0,0.0,-0.1,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.165,-0.36,0.0,0.0,-0.15,0.0,0.0,-0.1,-0.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.1655,-0.38,0.0,0.0,-0.15,0.0,0.0,-0.1,-0.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.166,-0.39,0.0,0.0,-0.15,0.0,0.0,-0.1,-0.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.1665,-0.37,0.0,0.0,-0.14,0.0,0.0,-0.1,-0.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.167,-0.38,0.0,0.0,-0.16,0.0,0.0,-0.2,-0.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.1675,-0.43,0.0,0.0,-0.18,0.0,0.0,-0.2,-0.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.168,-0.4,0.0,0.0,-0.15,0.0,0.0,-0.1,-0.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.1685,-0.4,0.0,0.0,-0.14,0.0,0.0,-0.1,-0.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.169,-0.37,0.0,0.0,-0.12,0.0,0.0,-0.1,-0.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.1695,-0.37,0.0,0.0,-0.09,0.0,0.0,-0.1,-0.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
